company_id,year,free_cash_flow,cfo_quality,capex_intensity,fcf_conversion_rate,capital_pattern
ABB,Mar 2018,-994.0,High Quality,Capital Intensive,-189.33,Mixed
ABB,Mar 2019,-459.0,High Quality,Capital Intensive,-75.87,Mixed
ABB,Mar 2020,-206.0,High Quality,Capital Intensive,-27.21,Mixed
ABB,Mar 2021,-225.0,High Quality,Capital Intensive,-24.4,Shareholder Returns
ABB,Mar 2022,161.0,High Quality,Capital Intensive,14.88,Shareholder Returns
ABB,Mar 2023,-922.0,High Quality,Capital Intensive,-76.45,Mixed
ABB,Mar 2024,1095.0,High Quality,Capital Intensive,75.36,Shareholder Returns
ADANIENSOL,Mar 2014,0.0,,,,Cash Accumulator
ADANIENSOL,Mar 2015,-1899.0,High Quality,Capital Intensive,-1880.2,Growth Funded by Debt
ADANIENSOL,Mar 2016,728.0,High Quality,Capital Intensive,37.78,Shareholder Returns
ADANIENSOL,Mar 2017,459.0,High Quality,Capital Intensive,23.15,Shareholder Returns
ADANIENSOL,Mar 2018,-994.0,High Quality,Capital Intensive,-35.17,Mixed
ADANIENSOL,Mar 2019,-459.0,High Quality,Capital Intensive,-16.52,Mixed
ADANIENSOL,Mar 2020,-206.0,High Quality,Capital Intensive,-4.84,Mixed
ADANIENSOL,Mar 2021,-225.0,High Quality,Capital Intensive,-5.7,Shareholder Returns
ADANIENSOL,Mar 2022,161.0,High Quality,Capital Intensive,3.83,Shareholder Returns
ADANIENSOL,Mar 2023,-922.0,High Quality,Capital Intensive,-20.41,Mixed
ADANIENSOL,Mar 2024,1095.0,High Quality,Capital Intensive,19.17,Shareholder Returns
ADANIENT,Mar 2013,-7124.0,High Quality,Capital Intensive,-118.32,Mixed
ADANIENT,Mar 2014,221.0,High Quality,Capital Intensive,2.36,Shareholder Returns
ADANIENT,Mar 2015,-2933.0,High Quality,Capital Intensive,-23.56,Mixed
ADANIENT,Mar 2016,3287.0,High Quality,Moderate,195.19,Shareholder Returns
ADANIENT,Mar 2017,-686.0,Moderate,Moderate,-36.07,Mixed
ADANIENT,Mar 2018,-4707.0,High Quality,Capital Intensive,-230.96,Mixed
ADANIENT,Mar 2019,5723.0,High Quality,Moderate,290.66,Liquidating Assets
ADANIENT,Mar 2020,1372.0,High Quality,Asset Light,59.81,Shareholder Returns
ADANIENT,Mar 2021,-4568.0,High Quality,Capital Intensive,-182.28,Mixed
ADANIENT,Mar 2022,-15656.0,High Quality,Capital Intensive,-421.54,Mixed
ADANIENT,Mar 2023,2167.0,High Quality,Capital Intensive,24.57,Shareholder Returns
ADANIENT,Mar 2024,-8455.0,High Quality,Capital Intensive,-74.32,Mixed
ADANIGREEN,Mar 2017,-1483.0,Accrual Risk,Capital Intensive,-367.99,Mixed
ADANIGREEN,Mar 2018,-3779.0,Accrual Risk,Capital Intensive,-448.28,Mixed
ADANIGREEN,Mar 2019,-1041.0,Accrual Risk,Capital Intensive,-68.22,Mixed
ADANIGREEN,Mar 2020,-1778.0,Accrual Risk,Capital Intensive,-122.62,Mixed
ADANIGREEN,Mar 2021,-7536.0,High Quality,Capital Intensive,-336.28,Mixed
ADANIGREEN,Mar 2022,-15603.0,High Quality,Capital Intensive,-444.28,Mixed
ADANIGREEN,Mar 2023,3408.0,High Quality,Capital Intensive,68.57,Shareholder Returns
ADANIGREEN,Mar 2024,-13347.0,High Quality,Capital Intensive,-182.39,Mixed
ADANIPORTS,Mar 2013,-3757.0,Moderate,Capital Intensive,-157.72,Mixed
ADANIPORTS,Mar 2013,-3757.0,Moderate,Capital Intensive,-157.72,Mixed
ADANIPORTS,Mar 2014,-1378.0,Moderate,Capital Intensive,-47.21,Mixed
ADANIPORTS,Mar 2014,-1378.0,Moderate,Capital Intensive,-47.21,Mixed
ADANIPORTS,Mar 2015,572.0,High Quality,Capital Intensive,14.66,Shareholder Returns
ADANIPORTS,Mar 2015,572.0,High Quality,Capital Intensive,14.66,Shareholder Returns
ADANIPORTS,Mar 2016,-1772.0,Moderate,Capital Intensive,-38.72,Mixed
ADANIPORTS,Mar 2016,-1772.0,Moderate,Capital Intensive,-38.72,Mixed
ADANIPORTS,Mar 2017,1434.0,High Quality,Capital Intensive,26.47,Shareholder Returns
ADANIPORTS,Mar 2017,1434.0,High Quality,Capital Intensive,26.47,Shareholder Returns
ADANIPORTS,Mar 2018,1762.0,High Quality,Capital Intensive,24.62,Shareholder Returns
ADANIPORTS,Mar 2018,1762.0,High Quality,Capital Intensive,24.62,Shareholder Returns
ADANIPORTS,Mar 2019,1661.0,High Quality,Capital Intensive,25.18,Mixed
ADANIPORTS,Mar 2019,1661.0,High Quality,Capital Intensive,25.18,Mixed
ADANIPORTS,Mar 2020,6653.0,High Quality,Moderate,111.87,Shareholder Returns
ADANIPORTS,Mar 2020,6653.0,High Quality,Moderate,111.87,Shareholder Returns
ADANIPORTS,Mar 2021,-6508.0,High Quality,Capital Intensive,-74.91,Mixed
ADANIPORTS,Mar 2021,-6508.0,High Quality,Capital Intensive,-74.91,Mixed
ADANIPORTS,Mar 2022,4927.0,High Quality,Capital Intensive,51.71,Shareholder Returns
ADANIPORTS,Mar 2022,4927.0,High Quality,Capital Intensive,51.71,Shareholder Returns
ADANIPORTS,Mar 2023,-4816.0,High Quality,Capital Intensive,-43.99,Shareholder Returns
ADANIPORTS,Mar 2023,-4816.0,High Quality,Capital Intensive,-43.99,Shareholder Returns
ADANIPORTS,Mar 2024,8250.0,High Quality,Capital Intensive,52.92,Shareholder Returns
ADANIPORTS,Mar 2024,8250.0,High Quality,Capital Intensive,52.92,Shareholder Returns
ADANIPOWER,Mar 2013,-1063.0,Accrual Risk,Capital Intensive,-110.73,Mixed
ADANIPOWER,Mar 2014,-1462.0,Accrual Risk,Capital Intensive,-31.83,Mixed
ADANIPOWER,Mar 2015,1087.0,Accrual Risk,Capital Intensive,23.24,Reinvestor
ADANIPOWER,Mar 2016,2565.0,High Quality,Capital Intensive,29.14,Shareholder Returns
ADANIPOWER,Mar 2017,3513.0,Accrual Risk,Moderate,58.75,Reinvestor
ADANIPOWER,Mar 2018,4581.0,Accrual Risk,Asset Light,84.27,Reinvestor
ADANIPOWER,Mar 2019,4626.0,Accrual Risk,Moderate,92.84,Reinvestor
ADANIPOWER,Mar 2020,3294.0,Accrual Risk,Capital Intensive,57.45,Reinvestor
ADANIPOWER,Mar 2021,4826.0,High Quality,Capital Intensive,55.55,Shareholder Returns
ADANIPOWER,Mar 2022,11007.0,High Quality,Asset Light,111.4,Liquidating Assets
ADANIPOWER,Mar 2023,9976.0,Moderate,Moderate,98.81,Liquidating Assets
ADANIPOWER,Mar 2024,17651.0,Moderate,Moderate,96.83,Liquidating Assets
AMBUJACEM,Dec 2012,1472.0,High Quality,Moderate,59.52,Shareholder Returns
AMBUJACEM,Dec 2013,771.0,Moderate,Moderate,46.2,Reinvestor
AMBUJACEM,Dec 2014,1219.0,High Quality,Moderate,63.03,Shareholder Returns
AMBUJACEM,Dec 2015,1474.0,High Quality,Asset Light,95.59,Shareholder Returns
AMBUJACEM,Dec 2016,-1355.0,High Quality,Capital Intensive,-42.6,Shareholder Returns
AMBUJACEM,Dec 2017,2678.0,High Quality,Moderate,69.41,Shareholder Returns
AMBUJACEM,Dec 2018,938.0,Moderate,Asset Light,23.39,Reinvestor
AMBUJACEM,Dec 2019,3548.0,High Quality,Moderate,77.18,Shareholder Returns
AMBUJACEM,Dec 2020,3515.0,High Quality,Moderate,70.22,Shareholder Returns
AMBUJACEM,Dec 2021,3302.0,High Quality,Moderate,53.17,Shareholder Returns
AMBUJACEM,Mar 2023,-13746.0,Accrual Risk,Capital Intensive,,Mixed
AMBUJACEM,Mar 2024,-3295.0,High Quality,Capital Intensive,-51.48,Mixed
APOLLOHOSP,Mar 2013,-290.0,High Quality,Capital Intensive,-47.39,Mixed
APOLLOHOSP,Mar 2014,17.0,High Quality,Capital Intensive,2.51,Shareholder Returns
APOLLOHOSP,Mar 2015,-289.0,High Quality,Capital Intensive,-39.21,Mixed
APOLLOHOSP,Mar 2016,-291.0,High Quality,Capital Intensive,-42.54,Mixed
APOLLOHOSP,Mar 2017,-529.0,High Quality,Capital Intensive,-72.07,Mixed
APOLLOHOSP,Mar 2018,132.0,High Quality,Moderate,16.48,Shareholder Returns
APOLLOHOSP,Mar 2019,194.0,High Quality,Moderate,18.13,Shareholder Returns
APOLLOHOSP,Mar 2020,1004.0,High Quality,Asset Light,63.1,Shareholder Returns
APOLLOHOSP,Mar 2021,385.0,High Quality,Capital Intensive,33.77,Shareholder Returns
APOLLOHOSP,Mar 2022,949.0,High Quality,Moderate,43.35,Shareholder Returns
APOLLOHOSP,Mar 2023,520.0,High Quality,Moderate,25.18,Shareholder Returns
APOLLOHOSP,Mar 2024,383.0,High Quality,Capital Intensive,16.0,Shareholder Returns
ASIANPAINT,Mar 2013,724.0,High Quality,Moderate,41.68,Shareholder Returns
ASIANPAINT,Mar 2014,816.0,High Quality,Moderate,40.72,Shareholder Returns
ASIANPAINT,Mar 2015,723.0,Moderate,Moderate,32.23,Reinvestor
ASIANPAINT,Mar 2016,1377.0,High Quality,Moderate,50.53,Shareholder Returns
ASIANPAINT,Mar 2017,846.0,Moderate,Moderate,28.26,Reinvestor
ASIANPAINT,Mar 2018,557.0,High Quality,Capital Intensive,17.38,Shareholder Returns
ASIANPAINT,Mar 2019,1552.0,High Quality,Moderate,41.22,Shareholder Returns
ASIANPAINT,Mar 2020,2520.0,High Quality,Asset Light,60.62,Shareholder Returns
ASIANPAINT,Mar 2021,3142.0,High Quality,Asset Light,64.7,Shareholder Returns
ASIANPAINT,Mar 2022,669.0,Accrual Risk,Asset Light,13.93,Reinvestor
ASIANPAINT,Mar 2023,2911.0,Moderate,Moderate,46.5,Reinvestor
ASIANPAINT,Mar 2024,3556.0,High Quality,Moderate,46.88,Shareholder Returns
AGTL,Mar 2018,-711.0,Accrual Risk,Capital Intensive,,Mixed
AGTL,Mar 2019,1147.0,Accrual Risk,Capital Intensive,,Liquidating Assets
AGTL,Mar 2020,31.0,Accrual Risk,Capital Intensive,,Reinvestor
AGTL,Mar 2021,-116.0,Accrual Risk,Capital Intensive,,Mixed
AGTL,Mar 2022,-401.0,Accrual Risk,Capital Intensive,,Mixed
AGTL,Mar 2023,-314.0,Accrual Risk,Capital Intensive,,Mixed
AGTL,Mar 2024,203.0,Accrual Risk,Capital Intensive,,Reinvestor
AXISBANK,Mar 2013,-8366.0,Accrual Risk,Capital Intensive,-100.64,Mixed
AXISBANK,Mar 2014,298.0,High Quality,Capital Intensive,3.09,Mixed
AXISBANK,Mar 2015,-23134.0,Accrual Risk,Capital Intensive,-207.91,Growth Funded by Debt
AXISBANK,Mar 2016,-25284.0,Accrual Risk,Capital Intensive,-189.15,Distress Signal
AXISBANK,Mar 2017,19751.0,High Quality,Capital Intensive,82.96,Shareholder Returns
AXISBANK,Mar 2018,-48397.0,Accrual Risk,Capital Intensive,-167.49,Growth Funded by Debt
AXISBANK,Mar 2019,18451.0,High Quality,Capital Intensive,67.95,Mixed
AXISBANK,Mar 2020,20931.0,High Quality,Capital Intensive,59.69,Mixed
AXISBANK,Mar 2021,-41655.0,High Quality,Capital Intensive,-131.2,Mixed
AXISBANK,Mar 2022,1025.0,High Quality,Capital Intensive,3.42,Mixed
AXISBANK,Mar 2023,-10276.0,High Quality,Capital Intensive,-35.33,Mixed
AXISBANK,Mar 2024,-14556.0,Accrual Risk,Capital Intensive,-38.36,Growth Funded by Debt
BAJAJ-AUTO,Mar 2013,824.0,Moderate,Moderate,22.54,Reinvestor
BAJAJ-AUTO,Mar 2014,1430.0,High Quality,Capital Intensive,34.35,Shareholder Returns
BAJAJ-AUTO,Mar 2015,1734.0,Moderate,Asset Light,42.01,Reinvestor
BAJAJ-AUTO,Mar 2016,3622.0,Moderate,Asset Light,75.57,Reinvestor
BAJAJ-AUTO,Mar 2017,-343.0,Moderate,Capital Intensive,-7.74,Reinvestor
BAJAJ-AUTO,Mar 2018,2374.0,High Quality,Moderate,48.99,Shareholder Returns
BAJAJ-AUTO,Mar 2019,2214.0,Moderate,Asset Light,42.59,Reinvestor
BAJAJ-AUTO,Mar 2020,5616.0,Moderate,Moderate,109.92,Liquidating Assets
BAJAJ-AUTO,Mar 2021,251.0,Moderate,Capital Intensive,5.08,Reinvestor
BAJAJ-AUTO,Mar 2022,4473.0,Moderate,Asset Light,85.05,Liquidating Assets
BAJAJ-AUTO,Mar 2023,6488.0,Moderate,Moderate,100.36,Liquidating Assets
BAJAJ-AUTO,Mar 2024,6486.0,Moderate,Asset Light,74.0,Reinvestor
BAJAJ-AUTO,Mar 2013,824.0,Moderate,Moderate,22.54,Reinvestor
BAJAJ-AUTO,Mar 2014,1430.0,High Quality,Capital Intensive,34.35,Shareholder Returns
BAJAJ-AUTO,Mar 2015,1734.0,Moderate,Asset Light,42.01,Reinvestor
BAJAJ-AUTO,Mar 2016,3622.0,Moderate,Asset Light,75.57,Reinvestor
BAJAJ-AUTO,Mar 2017,-343.0,Moderate,Capital Intensive,-7.74,Reinvestor
BAJAJ-AUTO,Mar 2018,2374.0,High Quality,Moderate,48.99,Shareholder Returns
BAJAJ-AUTO,Mar 2019,2214.0,Moderate,Asset Light,42.59,Reinvestor
BAJAJ-AUTO,Mar 2020,5616.0,Moderate,Moderate,109.92,Liquidating Assets
BAJAJ-AUTO,Mar 2021,251.0,Moderate,Capital Intensive,5.08,Reinvestor
BAJAJ-AUTO,Mar 2022,4473.0,Moderate,Asset Light,85.05,Liquidating Assets
BAJAJ-AUTO,Mar 2023,6488.0,Moderate,Moderate,100.36,Liquidating Assets
BAJAJ-AUTO,Mar 2024,6486.0,Moderate,Asset Light,74.0,Reinvestor
BAJAJFINSV,Mar 2013,-3969.0,Accrual Risk,Capital Intensive,-100.97,Distress Signal
BAJAJFINSV,Mar 2014,-6043.0,Accrual Risk,Capital Intensive,-134.56,Distress Signal
BAJAJFINSV,Mar 2015,-7022.0,Accrual Risk,Capital Intensive,-127.42,Distress Signal
BAJAJFINSV,Mar 2016,-10681.0,Accrual Risk,Moderate,-158.5,Growth Funded by Debt
BAJAJFINSV,Mar 2017,-10771.0,Accrual Risk,Asset Light,-123.62,Distress Signal
BAJAJFINSV,Mar 2018,-20502.0,Accrual Risk,Asset Light,-190.04,Growth Funded by Debt
BAJAJFINSV,Mar 2019,-33979.0,Accrual Risk,Capital Intensive,-225.97,Growth Funded by Debt
BAJAJFINSV,Mar 2020,-33317.0,Accrual Risk,Capital Intensive,-182.48,Growth Funded by Debt
BAJAJFINSV,Mar 2021,863.0,Moderate,Moderate,4.39,Mixed
BAJAJFINSV,Mar 2022,-32225.0,Accrual Risk,Asset Light,-150.2,Distress Signal
BAJAJFINSV,Mar 2023,-53425.0,Accrual Risk,Capital Intensive,-178.87,Growth Funded by Debt
BAJAJFINSV,Mar 2024,-79634.0,Accrual Risk,Capital Intensive,-194.77,Growth Funded by Debt
BAJAJHLDNG,Mar 2013,104.0,Accrual Risk,Capital Intensive,32.3,Reinvestor
BAJAJHLDNG,Mar 2014,353.0,Accrual Risk,Capital Intensive,88.25,Reinvestor
BAJAJHLDNG,Mar 2015,332.0,Accrual Risk,Capital Intensive,68.6,Reinvestor
BAJAJHLDNG,Mar 2016,2166.0,Moderate,Capital Intensive,504.9,Liquidating Assets
BAJAJHLDNG,Mar 2017,-1295.0,Accrual Risk,Capital Intensive,-206.21,Pre-Revenue
BAJAJHLDNG,Mar 2018,508.0,Moderate,Capital Intensive,143.1,Reinvestor
BAJAJHLDNG,Mar 2019,465.0,Accrual Risk,Capital Intensive,134.01,Reinvestor
BAJAJHLDNG,Mar 2020,1120.0,Moderate,Capital Intensive,372.09,Reinvestor
BAJAJHLDNG,Mar 2021,-36.0,Accrual Risk,Capital Intensive,-10.23,Reinvestor
BAJAJHLDNG,Mar 2022,1459.0,Accrual Risk,Capital Intensive,397.55,Reinvestor
BAJAJHLDNG,Mar 2023,1591.0,Accrual Risk,Capital Intensive,418.68,Reinvestor
BAJAJHLDNG,Mar 2024,1469.0,Accrual Risk,Capital Intensive,94.05,Reinvestor
BAJFINANCE,Mar 2015,-7424.0,Accrual Risk,Moderate,-423.74,Growth Funded by Debt
BAJFINANCE,Mar 2016,-10557.0,Accrual Risk,Capital Intensive,-448.47,Growth Funded by Debt
BAJFINANCE,Mar 2017,-13486.0,Accrual Risk,Capital Intensive,-414.95,Growth Funded by Debt
BAJFINANCE,Mar 2018,-19491.0,Accrual Risk,Capital Intensive,-473.66,Distress Signal
BAJFINANCE,Mar 2019,-34441.0,Accrual Risk,Capital Intensive,-631.48,Growth Funded by Debt
BAJFINANCE,Mar 2020,-33170.0,Accrual Risk,Capital Intensive,-362.16,Growth Funded by Debt
BAJFINANCE,Mar 2021,-1236.0,Accrual Risk,Asset Light,-11.4,Growth Funded by Debt
BAJFINANCE,Mar 2022,-30743.0,Accrual Risk,Capital Intensive,-258.78,Distress Signal
BAJFINANCE,Mar 2023,-52506.0,Accrual Risk,Capital Intensive,-413.66,Growth Funded by Debt
BAJFINANCE,Mar 2024,-79931.0,Accrual Risk,Capital Intensive,-496.5,Growth Funded by Debt
BANKBARODA,Mar 2013,22682.0,High Quality,Asset Light,207.14,Shareholder Returns
BANKBARODA,Mar 2014,41503.0,High Quality,Asset Light,344.45,Mixed
BANKBARODA,Mar 2015,17282.0,High Quality,Asset Light,128.34,Shareholder Returns
BANKBARODA,Mar 2016,-14016.0,High Quality,Capital Intensive,-55.2,Pre-Revenue
BANKBARODA,Mar 2017,17314.0,High Quality,Asset Light,89.94,Shareholder Returns
BANKBARODA,Mar 2018,-60106.0,High Quality,Asset Light,-230.35,Growth Funded by Debt
BANKBARODA,Mar 2019,-3986.0,Accrual Risk,Moderate,-15.44,Growth Funded by Debt
BANKBARODA,Mar 2020,18392.0,High Quality,Asset Light,45.32,Mixed
BANKBARODA,Mar 2021,-1358.0,Accrual Risk,Asset Light,-3.57,Pre-Revenue
BANKBARODA,Mar 2022,2565.0,Moderate,Moderate,6.84,Reinvestor
BANKBARODA,Mar 2023,-22450.0,Accrual Risk,Asset Light,-58.72,Pre-Revenue
BANKBARODA,Mar 2024,-7559.0,Accrual Risk,Asset Light,-17.03,Growth Funded by Debt
BEL,Mar 2013,214.0,Accrual Risk,Capital Intensive,31.99,Other
BEL,Mar 2014,190.0,Accrual Risk,Capital Intensive,20.54,Other
BEL,Mar 2015,595.0,High Quality,Capital Intensive,50.47,Shareholder Returns
BEL,Mar 2016,790.0,High Quality,Capital Intensive,56.71,Shareholder Returns
BEL,Mar 2017,3054.0,Accrual Risk,Capital Intensive,170.42,Other
BEL,Mar 2018,-693.0,Accrual Risk,Asset Light,-33.99,Pre-Revenue
BEL,Mar 2019,618.0,Moderate,Moderate,21.24,Reinvestor
BEL,Mar 2020,1921.0,High Quality,Moderate,69.63,Shareholder Returns
BEL,Mar 2021,2498.0,High Quality,Capital Intensive,77.72,Shareholder Returns
BEL,Mar 2022,-665.0,High Quality,Capital Intensive,-19.89,Shareholder Returns
BEL,Mar 2023,3907.0,Accrual Risk,Capital Intensive,95.53,Liquidating Assets
BEL,Mar 2024,-1265.0,High Quality,Capital Intensive,-25.04,Shareholder Returns
BHARTIARTL,Mar 2013,3932.0,High Quality,Capital Intensive,17.13,Shareholder Returns
BHARTIARTL,Mar 2014,1052.0,High Quality,Capital Intensive,3.97,Mixed
BHARTIARTL,Mar 2015,5758.0,High Quality,Capital Intensive,17.14,Shareholder Returns
BHARTIARTL,Mar 2016,13851.0,High Quality,Capital Intensive,40.76,Shareholder Returns
BHARTIARTL,Mar 2017,-2400.0,High Quality,Capital Intensive,-6.79,Shareholder Returns
BHARTIARTL,Mar 2018,1914.0,High Quality,Capital Intensive,6.36,Mixed
BHARTIARTL,Mar 2019,-8216.0,High Quality,Capital Intensive,-31.89,Mixed
BHARTIARTL,Mar 2020,-11469.0,Accrual Risk,Capital Intensive,-31.33,Mixed
BHARTIARTL,Mar 2021,20919.0,Accrual Risk,Capital Intensive,46.2,Reinvestor
BHARTIARTL,Mar 2022,13539.0,High Quality,Capital Intensive,23.53,Shareholder Returns
BHARTIARTL,Mar 2023,26093.0,High Quality,Capital Intensive,36.61,Shareholder Returns
BHARTIARTL,Mar 2024,27809.0,High Quality,Capital Intensive,35.52,Shareholder Returns
BHEL,Mar 2013,646.0,Accrual Risk,Asset Light,6.81,Mixed
BHEL,Mar 2014,3644.0,High Quality,Asset Light,79.58,Mixed
BHEL,Mar 2015,1471.0,Moderate,Asset Light,68.71,Liquidating Assets
BHEL,Mar 2016,397.0,Accrual Risk,Asset Light,-29.26,Liquidating Assets
BHEL,Mar 2017,-5.0,High Quality,Asset Light,-0.46,Shareholder Returns
BHEL,Mar 2018,1950.0,High Quality,Moderate,117.97,Liquidating Assets
BHEL,Mar 2019,-1941.0,Accrual Risk,Moderate,-95.52,Other
BHEL,Mar 2020,-1015.0,High Quality,Capital Intensive,763.16,Distress Signal
BHEL,Mar 2021,518.0,Accrual Risk,Asset Light,-16.99,Reinvestor
BHEL,Mar 2022,-458.0,High Quality,Moderate,-55.31,Shareholder Returns
BHEL,Mar 2023,739.0,Accrual Risk,Moderate,70.79,Distress Signal
BHEL,Mar 2024,-2382.0,Accrual Risk,Moderate,-335.02,Distress Signal
BOSCHLTD,Dec 2012,47.0,Moderate,Capital Intensive,3.48,Reinvestor
BOSCHLTD,Dec 2013,211.0,High Quality,Capital Intensive,16.37,Shareholder Returns
BOSCHLTD,Mar 2015,213.0,High Quality,Capital Intensive,10.75,Shareholder Returns
BOSCHLTD,Mar 2016,323.0,Moderate,Capital Intensive,17.2,Reinvestor
BOSCHLTD,Mar 2017,2703.0,Moderate,Capital Intensive,137.7,Liquidating Assets
BOSCHLTD,Mar 2018,559.0,High Quality,Capital Intensive,26.71,Shareholder Returns
BOSCHLTD,Mar 2019,2359.0,Accrual Risk,Capital Intensive,109.52,Liquidating Assets
BOSCHLTD,Mar 2020,463.0,High Quality,Capital Intensive,31.22,Shareholder Returns
BOSCHLTD,Mar 2021,372.0,High Quality,Moderate,31.99,Shareholder Returns
BOSCHLTD,Mar 2022,238.0,Accrual Risk,Asset Light,16.28,Reinvestor
BOSCHLTD,Mar 2023,1476.0,Moderate,Asset Light,81.55,Liquidating Assets
BOSCHLTD,Mar 2024,1536.0,Moderate,Asset Light,73.32,Liquidating Assets
BPCL,Mar 2013,2322.0,High Quality,Asset Light,34.61,Shareholder Returns
BPCL,Mar 2014,2707.0,High Quality,Asset Light,28.76,Shareholder Returns
BPCL,Mar 2015,10206.0,High Quality,Moderate,104.36,Shareholder Returns
BPCL,Mar 2016,1886.0,High Quality,Moderate,14.54,Shareholder Returns
BPCL,Mar 2017,-6233.0,Moderate,Moderate,-45.22,Mixed
BPCL,Mar 2018,4002.0,High Quality,Asset Light,26.13,Shareholder Returns
BPCL,Mar 2019,-294.0,High Quality,Moderate,-1.95,Mixed
BPCL,Mar 2020,-3254.0,High Quality,Moderate,-36.26,Mixed
BPCL,Mar 2021,20981.0,High Quality,Asset Light,99.9,Shareholder Returns
BPCL,Mar 2022,12198.0,High Quality,Asset Light,63.74,Shareholder Returns
BPCL,Mar 2023,4660.0,High Quality,Asset Light,42.76,Shareholder Returns
BPCL,Mar 2024,25415.0,High Quality,Asset Light,57.65,Shareholder Returns
BRITANNIA,Mar 2013,348.0,High Quality,Asset Light,82.66,Liquidating Assets
BRITANNIA,Mar 2014,425.0,High Quality,Moderate,67.78,Shareholder Returns
BRITANNIA,Mar 2015,134.0,Moderate,Moderate,15.4,Reinvestor
BRITANNIA,Mar 2016,254.0,High Quality,Capital Intensive,20.75,Shareholder Returns
BRITANNIA,Mar 2017,291.0,Accrual Risk,Asset Light,22.77,Reinvestor
BRITANNIA,Mar 2018,292.0,High Quality,Capital Intensive,19.45,Shareholder Returns
BRITANNIA,Mar 2019,304.0,High Quality,Moderate,17.55,Shareholder Returns
BRITANNIA,Mar 2020,-41.0,High Quality,Capital Intensive,-2.22,Mixed
BRITANNIA,Mar 2021,2309.0,High Quality,Moderate,92.03,Liquidating Assets
BRITANNIA,Mar 2022,2214.0,Moderate,Moderate,100.59,Liquidating Assets
BRITANNIA,Mar 2023,1019.0,High Quality,Capital Intensive,35.99,Shareholder Returns
BRITANNIA,Mar 2024,3050.0,High Quality,Asset Light,96.31,Liquidating Assets
CANBK,Mar 2013,7575.0,High Quality,Asset Light,104.96,Shareholder Returns
CANBK,Mar 2014,13864.0,High Quality,Asset Light,143.88,Shareholder Returns
CANBK,Mar 2015,5240.0,High Quality,Asset Light,50.86,Shareholder Returns
CANBK,Mar 2016,8903.0,Accrual Risk,Asset Light,50.06,Reinvestor
CANBK,Mar 2017,2099.0,High Quality,Asset Light,13.38,Mixed
CANBK,Mar 2018,-11607.0,High Quality,Asset Light,-45.37,Growth Funded by Debt
CANBK,Mar 2019,17492.0,High Quality,Asset Light,64.3,Shareholder Returns
CANBK,Mar 2020,-5734.0,High Quality,Asset Light,-21.39,Growth Funded by Debt
CANBK,Mar 2021,58002.0,High Quality,Asset Light,133.53,Mixed
CANBK,Mar 2022,-510.0,Accrual Risk,Asset Light,-1.24,Mixed
CANBK,Mar 2023,-41134.0,Accrual Risk,Asset Light,-96.17,Growth Funded by Debt
CANBK,Mar 2024,13296.0,Moderate,Asset Light,28.81,Reinvestor
CHOLAFIN,Mar 2013,-3749.0,Accrual Risk,Asset Light,-544.91,Distress Signal
